%time,field.x,field.y,field.z
1456328986902266025,2.07777574658e-05,-2.40391150117e-05,2.14337542653e-05
1456328986922429084,2.06412553787e-05,-2.40220546722e-05,2.15045526624e-05
1456328986942809104,2.04881742597e-05,-2.41557970643e-05,2.16574668884e-05
1456328986963027000,2.02160194516e-05,-2.40754529834e-05,2.16783672571e-05
1456328986983218908,2.01664432883e-05,-2.40721479058e-05,2.1901999414e-05
1456328987003498077,1.99100002646e-05,-2.40552037954e-05,2.19639524817e-05
1456328987023518085,1.98373958468e-05,-2.39259213209e-05,2.20495432615e-05
1456328987044704914,1.96518316865e-05,-2.384262532e-05,2.22710371017e-05
1456328987064913988,1.95713758469e-05,-2.39056736231e-05,2.2335408628e-05
1456328987085021972,1.92914918065e-05,-2.39539042115e-05,2.23181471229e-05
1456328987105093955,1.92909911275e-05,-2.38728523254e-05,2.23889559507e-05
1456328987125438928,1.92974090576e-05,-2.39175409079e-05,2.26136907935e-05
1456328987146795988,1.9161015749e-05,-2.3948712647e-05,2.2669197619e-05
1456328987168524980,1.89930260181e-05,-2.38927185535e-05,2.26671889424e-05
1456328987188812971,1.87846362591e-05,-2.38758936524e-05,2.27214798331e-05
1456328987208868026,1.85429468751e-05,-2.39283457398e-05,2.29605838656e-05
1456328987229104995,1.83656677604e-05,-2.37976461649e-05,2.31414303184e-05
1456328987249352931,1.82457134128e-05,-2.39337489009e-05,2.31345936656e-05
1456328987269469022,1.80850505829e-05,-2.38523423672e-05,2.32282713056e-05
1456328987289643049,1.80934935808e-05,-2.39092797041e-05,2.31651619077e-05
1456328987309700965,1.79885417223e-05,-2.38832771778e-05,2.33000591397e-05
1456328987329823970,1.78921461105e-05,-2.39144474268e-05,2.3355846107e-05
1456328987349879026,1.76922097802e-05,-2.38985657692e-05,2.33462020755e-05
1456328987370009899,1.74592584372e-05,-2.38725632429e-05,2.34801962972e-05
1456328987390247106,1.73951402307e-05,-2.39523172379e-05,2.34969243407e-05
1456328987411560058,1.71053603292e-05,-2.37805590034e-05,2.3748382926e-05
1456328987433531999,1.69352665544e-05,-2.38961800933e-05,2.40449279547e-05
1456328987453717947,1.66876703501e-05,-2.38730087876e-05,2.39868342876e-05
1456328987473797082,1.66462004185e-05,-2.39339321852e-05,2.41954699159e-05
1456328987493930101,1.63345381618e-05,-2.40066334605e-05,2.41463392973e-05
1456328987514081954,1.6223064065e-05,-2.38477140665e-05,2.4071200192e-05
1456328987534288883,1.61173626781e-05,-2.39721596241e-05,2.43123233318e-05
1456328987555358886,1.58924669027e-05,-2.39702701569e-05,2.44387283921e-05
